League Name,League Id
English Premier League,1
English Championship,2
English League 1,3
English League 2,4
Scottish Premiership,12
Scottish Championship,13
Scottish League 1,14
Scottish League 2,15
Austrian Bundesliga,116
Belarussian Premier League,171
Belgian Jupiler League,25
Bulgarian A-PFG,133
Croatian HNL,127
Czech Gambrinus Liga,117
Danish SAS Ligaen,112
Dutch Eredivisie,23
Finnish Veikkausliga,208
French Ligue 1,22
German Bundesliga,20
Greek Super League,114
Hungarian NB 1,134
Israeli Premier League,132
Italian Seria A,19
League of Ireland,76
League of Ireland Div 1,306  	
NI Premier League,48    	
Norwegian Tippeligaen,206
Polish Ekstraklasa,124
Portuguese Liga,24
Romanian Liga 1,123
Russian Premier,111
Serbian Super Liga,264
Slovenian League,126
Spanish La Liga,21
Spanish Segunda,194
Swedish Allsvenskan,205
Swiss League,122
Turkish Super Lig,113
Ukrainian League,118
Welsh Premier League,47